 | *-customized seq     METH=transmit method     TYPE=control char type      |
 | VK-virtual key       SCAN=scan code                                       |
 | DELAY=delay in ms.   DB-use delay before      DA-use delay after          |
 | EK-extended keybd    GS-group shift           CP-code page chr            |
 | RA-raw ASCII         SC-scan codes            GT-group transmit           |
 *****************************************************************************
 *****************************************************************************
 *****************************************************************************
   Creation Date and Time == 04/15/2016  01:34:29  (date/time may be invalid)
   Version ID String == (NULL)
   Platform Type == POCKET_PC   Heap Size == 0x2000   UseGridMacroDef == 1
 *****************************************************************************
 *****************************************************************************
 *****************************************************************************


 =============================================================================
   m_rgtcsAppKeyName == DEFAULT_APPLICATION  (0x0000)

   m_rgtcsAppWindowName == (NULL)
   ControlKeyDelay == 0x0
   GlobalSynthCharTable == 0x2d 0x23 0x28 0x22 0x25 0x2e 0x27 0x24 0x26 0x21 
 -----------------------------------------------------------------------------
                                  |15-10  9  8  7  6  5  4  3  2  1  0 |
 IDX    METH  TYPE       VK   SCAN|DELAY  DB DA       EK GS CP RA SC GT| Old
 =============================================================================

 --- U  P  P  E  R   K E Y   S E Q U E N C E ---------------------------------
        POST_CHAR PACKET     0x00 0x00|       0   0       0  0  0  0  0  0 |

 --- C H A R   S U B S T I T U T E   S E Q   T A B L E -----------------------

 --- L O W E R  2 5 6   A P P   K E Y   S E Q S ------------------------------
 0x0000 POST_CHAR PLAIN      0x32 0x03|       0   0       0  0  0  0  0  0 |
 0x0001 POST_CHAR PLAIN      0x41 0x1e|       0   0       0  0  0  0  0  0 |
 0x0002 POST_CHAR PLAIN      0x42 0x30|       0   0       0  0  0  0  0  0 |
 0x0003 POST_CHAR PLAIN      0x43 0x2e|       0   0       0  0  0  0  0  0 |
 0x0004 POST_CHAR PLAIN      0x44 0x20|       0   0       0  0  0  0  0  0 |
 0x0005 POST_CHAR PLAIN      0x45 0x12|       0   0       0  0  0  0  0  0 |
 0x0006 POST_CHAR PLAIN      0x46 0x21|       0   0       0  0  0  0  0  0 |
 0x0007 POST_CHAR PLAIN      0x47 0x22|       0   0       0  0  0  0  0  0 |
 0x0008 POST  PLAIN      0x08 0x0e|       0   0       0  0  0  0  0  0 |
 0x0009 POST  PLAIN      0x09 0x0f|       0   0       0  0  0  0  0  0 |
 0x000a POST_CHAR PLAIN      0x4a 0x24|       0   0       0  0  0  0  0  0 |
 0x000b POST_CHAR PLAIN      0x4b 0x25|       0   0       0  0  0  0  0  0 |
 0x000c POST_CHAR PLAIN      0x4c 0x26|       0   0       0  0  0  0  0  0 |
 0x000d POST  PLAIN      0x0d 0x1c|       0   0       0  0  0  0  0  0 |
 0x000e POST_CHAR PLAIN      0x4e 0x31|       0   0       0  0  0  0  0  0 |
 0x000f POST_CHAR PLAIN      0x4f 0x18|       0   0       0  0  0  0  0  0 |
 0x0010 POST_CHAR PLAIN      0x50 0x19|       0   0       0  0  0  0  0  0 |
 0x0011 POST_CHAR PLAIN      0x51 0x10|       0   0       0  0  0  0  0  0 |
 0x0012 POST_CHAR PLAIN      0x52 0x13|       0   0       0  0  0  0  0  0 |
 0x0013 POST_CHAR PLAIN      0x53 0x1f|       0   0       0  0  0  0  0  0 |
 0x0014 POST_CHAR PLAIN      0x54 0x14|       0   0       0  0  0  0  0  0 |
 0x0015 POST_CHAR PLAIN      0x55 0x16|       0   0       0  0  0  0  0  0 |
 0x0016 POST_CHAR PLAIN      0x56 0x2f|       0   0       0  0  0  0  0  0 |
 0x0017 POST_CHAR PLAIN      0x57 0x11|       0   0       0  0  0  0  0  0 |
 0x0018 POST_CHAR PLAIN      0x58 0x2d|       0   0       0  0  0  0  0  0 |
 0x0019 POST_CHAR PLAIN      0x59 0x15|       0   0       0  0  0  0  0  0 |
 0x001a POST_CHAR PLAIN      0x5a 0x2c|       0   0       0  0  0  0  0  0 |
 0x001b POST  PLAIN      0x1b 0x01|       0   0       0  0  0  0  0  0 |
 0x001c POST_CHAR PLAIN      0xdc 0x56|       0   0       0  0  0  0  0  0 |
 0x001d POST_CHAR PLAIN      0xdd 0x1b|       0   0       0  0  0  0  0  0 |
 0x001e POST_CHAR PLAIN      0x36 0x07|       0   0       0  0  0  0  0  0 |
 0x001f POST_CHAR PLAIN      0xbd 0x0c|       0   0       0  0  0  0  0  0 |
 0x0020 POST_CHAR PLAIN      0x20 0x39|       0   0       0  0  0  0  0  0 |
 0x0021 POST_CHAR PLAIN      0x31 0x02|       0   0       0  0  0  0  0  0 |
 0x0022 POST_CHAR PLAIN      0xde 0x28|       0   0       0  0  0  0  0  0 |
 0x0023 POST_CHAR PLAIN      0x33 0x04|       0   0       0  0  0  0  0  0 |
 0x0024 POST_CHAR PLAIN      0x34 0x05|       0   0       0  0  0  0  0  0 |
 0x0025 POST_CHAR PLAIN      0x35 0x06|       0   0       0  0  0  0  0  0 |
 0x0026 POST_CHAR PLAIN      0x37 0x08|       0   0       0  0  0  0  0  0 |
 0x0027 POST_CHAR PLAIN      0xde 0x28|       0   0       0  0  0  0  0  0 |
 0x0028 POST_CHAR PLAIN      0x39 0x0a|       0   0       0  0  0  0  0  0 |
 0x0029 POST_CHAR PLAIN      0x30 0x0b|       0   0       0  0  0  0  0  0 |
 0x002a POST_CHAR PLAIN      0x38 0x09|       0   0       0  0  0  0  0  0 |
 0x002b POST_CHAR PLAIN      0xbb 0x0d|       0   0       0  0  0  0  0  0 |
 0x002c POST_CHAR PLAIN      0xbc 0x33|       0   0       0  0  0  0  0  0 |
 0x002d POST_CHAR PLAIN      0xbd 0x0c|       0   0       0  0  0  0  0  0 |
 0x002e POST_CHAR PLAIN      0xbe 0x34|       0   0       0  0  0  0  0  0 |
 0x002f POST_CHAR PLAIN      0xbf 0x35|       0   0       0  0  0  0  0  0 |
 0x0030 POST_CHAR PLAIN      0x30 0x0b|       0   0       0  0  0  0  0  0 |
 0x0031 POST_CHAR PLAIN      0x31 0x02|       0   0       0  0  0  0  0  0 |
 0x0032 POST_CHAR PLAIN      0x32 0x03|       0   0       0  0  0  0  0  0 |
 0x0033 POST_CHAR PLAIN      0x33 0x04|       0   0       0  0  0  0  0  0 |
